timestamp,trade_id,symbol,direction,entry_price,exit_price,size,leverage,entry_reason,exit_reason,sl_price,tp_price,pnl_gross,entry_fee,exit_fee,funding_fees,pnl_net,roi_pct,regime_at_entry,rsi_at_entry,adx_at_entry,atr_at_entry,duration_min
2026-04-13T11:29:53.939821,579bd168,DOGEUSDT,long,0.09092,0.09092,1099868.0,50,LONG: EMA9>EMA21,TP/SL from exchange,0.087183188,0.100112012,0.0,2749.9999604000004,2749.9999604000004,0.0,-5499.999920800001,-5.500000000000001,chop,59.690985805479826,27.468816672357104,3.199700019671663e-05,2.6179260166666665
2026-04-13T11:30:10.502802,b349765c,XRPUSDT,long,1.3256,1.3256,75438.0,50,LONG: EMA9>EMA21,TP/SL from exchange,1.2711178399999998,1.4596181599999998,0.0,2750.016852,2750.016852,0.0,-5500.033704,-5.500000000000001,chop,56.17508446206173,27.715484329988872,0.0004871566055266037,2.3735339
2026-04-13T11:31:10.089159,248eacf5,AVAXUSDT,long,9.033,9.033,11070.5,50,LONG: EMA9>EMA21,TP/SL from exchange,8.661743699999999,9.946236299999999,0.0,2749.9952287500005,2749.9952287500005,0.0,-5499.990457500001,-5.500000000000002,chop,54.67863180595154,27.4574471904102,0.008279107895827847,1.4605467166666666
2026-04-13T11:32:03.015655,b570bc58,BTCUSDT,long,70836.0,70836.0,1.412,50,LONG: EMA9>EMA21,TP/SL from exchange,67924.6404,77997.5196,0.0,2750.5618799999997,2750.5618799999997,0.0,-5501.1237599999995,-5.499999999999999,chop,55.055223524562656,26.6873423091684,26.78983724662944,0.7374371333333334
2026-04-13T11:30:53.274343,045ed592,ADAUSDT,long,0.2382,0.2382,419815.0,50,LONG: EMA9>EMA21,TP/SL from exchange,0.22840997999999998,0.26228202,0.0,2749.9981575,2749.9981575,0.0,-5499.996315,-5.5,chop,64.52116869978985,31.937570227124304,0.00017447658247306085,2.066583516666667
2026-04-13T11:31:27.016701,6ed34901,LINKUSDT,long,8.712,8.712,11478.4,50,LONG: EMA9>EMA21,TP/SL from exchange,8.3539368,9.5927832,0.0,2749.9950719999997,2749.9950719999997,0.0,-5499.990143999999,-5.5,chop,51.338581654415975,23.36755090408121,0.004630130676671009,1.5629323333333334
2026-04-13T11:31:46.198220,4571d054,DOTUSDT,short,1.1552,1.1552,21641.3,50,SHORT: EMA9<EMA21,TP/SL from exchange,1.20267872,1.03840928,0.0,687.5008184,687.5008184,0.0,-1375.0016368,-5.5,trend_bearish,41.743865305254126,21.467651709126734,0.0021018335282433813,3.1696975333333333
2026-04-13T11:48:09.451507,8e5d7da6,ETHUSDT,long,2189.43,2189.43,45.7,50,LONG: EMA9>EMA21,TP/SL from exchange,2187.6784559999996,2193.8088599999996,0.0,2751.5661525,2751.5661525,0.0,-5503.132305,-5.5,chop,70.3556650159214,37.6841599514493,1.264694497797861,1.5723522166666666
2026-04-13T11:49:52.916067,8a42e72d,ADAUSDT,long,0.2384,0.2384,419463.0,50,LONG: EMA9>EMA21,TP/SL from exchange,0.23820928,0.2388768,0.0,2749.999428,2749.999428,0.0,-5499.998856,-5.5,chop,60.585688395987255,31.43049017401419,0.0001605123663272414,0.489419
2026-04-13T11:50:09.765566,cd173318,AVAXUSDT,long,9.074,9.074,11020.5,50,LONG: EMA9>EMA21,TP/SL from exchange,9.0667408,9.092148,0.0,2750.0004675,2750.0004675,0.0,-5500.000935,-5.500000000000001,chop,71.2467659506105,49.768668085258014,0.007903985379266837,0.2252219
