iter	Passed	Remaining
405	4756	6958
406	4761	6937
407	4774	6927
408	4783	6912
409	4796	6901
410	4804	6885
411	4814	6871
412	4824	6856
413	4831	6838
414	4842	6826
415	4858	6821
416	4865	6802
417	4879	6793
418	4887	6777
419	4900	6767
420	4904	6745
421	4914	6731
422	4941	6740
423	4952	6727
424	4956	6706
425	4968	6694
426	4979	6681
427	4985	6662
428	5000	6655
429	5003	6632
430	5013	6618
431	5028	6612
432	5036	6594
433	5043	6577

428	5107	6797
429	5117	6783
430	5124	6765
431	5138	6756
432	5143	6735
433	5152	6720
434	5170	6716
435	5180	6701
436	5189	6685
437	5198	6670
438	5209	6657
439	5212	6634
440	5223	6621
441	5235	6609
442	5241	6590
443	5252	6577
444	5266	6568
445	5274	6552
446	5289	6543
447	5300	6530
448	5312	6519
449	5319	6501
450	5325	6482
451	5344	6480
452	5350	6461
453	5365	6453
454	5371	6434
455	5376	6413
456	5385	6399
457	5403	6394
458	5407	6372
459	5413	6354
460	5420	6337
461	5437	6331
462	5443	6313
463	5449	6294
464	5456	6277
465	5466	6264
466	5476	6250
467	5484	6234
468	5491	6217
469	5505	6207
470	5513	6192
471	5528	6183
472	5541	6173
473	5548	6157
474	5559	6145
475	5569	6131
476	5575	6112
477	5586	6100
478	5591	6082
479	5599	6065
480	5609	6052
481	5617	6036
482	5630	6026
483	5639	6011
484	5649	5999
485	5655	5981
486	5666	5969
487	5678	5957
5616	5892
488	5619	5872
489	5623	5852
490	5641	5847
491	5662	5846
492	5668	5829
493	5675	5813
494	5683	5798
