hour_utc,trades,wins,losses,winrate,total_pnl_usdt,avg_pnl_usdt
13,3,0,0,0.0,0.0,0.0
14,7,0,0,0.0,0.0,0.0
15,4,2,0,1.0,1.0,0.2499
16,9,0,0,0.0,0.0,0.0
17,6,0,0,0.0,0.0,0.0
18,1,0,0,0.0,0.0,0.0
19,19,1,4,0.2,-2.25,-0.1184
20,5,0,0,0.0,0.0,0.0
21,7,0,0,0.0,0.0,0.0
22,5,1,0,1.0,0.5,0.0991
23,2,0,2,0.0,-16.26,-8.1308
0,3,0,0,0.0,0.0,0.0
